Source,Target,Weight,Type
Anno_The Vamp_1,Lamb_Glenarvon 2_2,24,undirected
Anno_The Vamp_1,Lewis_The Monk_11,2,undirected
Anno_The Vamp_1,Lewis_The Monk_13,3,undirected
Anno_The Vamp_1,Lewis_The Monk_15,3,undirected
Anno_The Vamp_1,Radcliffe_A sicilian Romance_1,4,undirected
Anno_The Vamp_1,Radcliffe_A sicilian Romance_4,11,undirected
Anno_The Vamp_1,Radcliffe_A sicilian Romance_7,11,undirected
Anno_The Vamp_1,Radcliffe_The myteries of Udolpho 4_8,4,undirected
Anno_The Vamp_1,Woolstencraft_Frankenstein_2,2,undirected
Byron_Childe Harold's Pilgrimage_1,Byron_Childe Harold's Pilgrimage_2,60,undirected
Byron_Childe Harold's Pilgrimage_1,Byron_Childe Harold's Pilgrimage_3,25,undirected
Byron_Childe Harold's Pilgrimage_1,Byron_Childe Harold's Pilgrimage_4,21,undirected
Byron_Childe Harold's Pilgrimage_1,Byron_Mazzepa_Dante_Beppo_1,2,undirected
Byron_Childe Harold's Pilgrimage_1,Polidori_The fallen Angel_1,1,undirected
Byron_Childe Harold's Pilgrimage_1,Woolstencraft_Prospertine und Midas_1,23,undirected
Byron_Childe Harold's Pilgrimage_2,Byron_Childe Harold's Pilgrimage_1,60,undirected
Byron_Childe Harold's Pilgrimage_2,Byron_Childe Harold's Pilgrimage_3,38,undirected
Byron_Childe Harold's Pilgrimage_2,Byron_Childe Harold's Pilgrimage_4,31,undirected
Byron_Childe Harold's Pilgrimage_2,Byron_Mazzepa_Dante_Beppo_1,22,undirected
Byron_Childe Harold's Pilgrimage_2,Polidori_The fallen Angel_1,21,undirected
Byron_Childe Harold's Pilgrimage_2,Woolstencraft_Prospertine und Midas_1,8,undirected
Byron_Childe Harold's Pilgrimage_3,Byron_Childe Harold's Pilgrimage_1,25,undirected
Byron_Childe Harold's Pilgrimage_3,Byron_Childe Harold's Pilgrimage_2,38,undirected
Byron_Childe Harold's Pilgrimage_3,Byron_Childe Harold's Pilgrimage_4,60,undirected
Byron_Childe Harold's Pilgrimage_3,Byron_Mazzepa_Dante_Beppo_1,13,undirected
Byron_Childe Harold's Pilgrimage_3,Polidori_The fallen Angel_1,9,undirected
Byron_Childe Harold's Pilgrimage_4,Byron_Childe Harold's Pilgrimage_1,21,undirected
Byron_Childe Harold's Pilgrimage_4,Byron_Childe Harold's Pilgrimage_2,31,undirected
Byron_Childe Harold's Pilgrimage_4,Byron_Childe Harold's Pilgrimage_3,60,undirected
Byron_Childe Harold's Pilgrimage_4,Byron_Mazzepa_Dante_Beppo_1,27,undirected
Byron_Childe Harold's Pilgrimage_4,Polidori_The fallen Angel_1,20,undirected
Byron_Don Juan_1,Byron_Don Juan_2,47,undirected
Byron_Don Juan_1,Byron_Don Juan_7,5,undirected
Byron_Don Juan_1,Byron_Don Juan_12,20,undirected
Byron_Don Juan_1,Byron_Don Juan_14,22,undirected
Byron_Don Juan_1,Byron_Mazzepa_Dante_Beppo_2,2,undirected
Byron_Don Juan_2,Byron_Don Juan_1,47,undirected
Byron_Don Juan_2,Byron_Don Juan_6,3,undirected
Byron_Don Juan_2,Byron_Don Juan_10,16,undirected
Byron_Don Juan_2,Byron_Don Juan_11,5,undirected
Byron_Don Juan_2,Byron_Don Juan_12,5,undirected
Byron_Don Juan_2,Byron_Don Juan_13,1,undirected
Byron_Don Juan_3,Byron_Don Juan_4,15,undirected
Byron_Don Juan_3,Byron_Don Juan_5,47,undirected
Byron_Don Juan_3,Byron_Don Juan_6,6,undirected
Byron_Don Juan_3,Byron_Don Juan_7,1,undirected
Byron_Don Juan_3,Byron_Don Juan_9,11,undirected
Byron_Don Juan_4,Byron_Don Juan_3,15,undirected
Byron_Don Juan_4,Byron_Don Juan_5,59,undirected
Byron_Don Juan_4,Byron_Don Juan_6,7,undirected
Byron_Don Juan_4,Byron_Don Juan_7,18,undirected
Byron_Don Juan_4,Byron_Don Juan_10,3,undirected
Byron_Don Juan_5,Byron_Don Juan_3,47,undirected
Byron_Don Juan_5,Byron_Don Juan_4,59,undirected
Byron_Don Juan_5,Byron_Don Juan_6,5,undirected
Byron_Don Juan_5,Byron_Don Juan_7,7,undirected
Byron_Don Juan_5,Byron_Don Juan_8,1,undirected
Byron_Don Juan_5,Byron_Mazzepa_Dante_Beppo_2,2,undirected
Byron_Don Juan_6,Byron_Don Juan_2,3,undirected
Byron_Don Juan_6,Byron_Don Juan_3,6,undirected
